Veldnaam,Opnemen?,Index?,# voorkomens,Bijzonderheden,Related table,Remarks,Example data,Example data 2
id,Ja,Ja,1…1,DSpace intern veld,,,,
collection,Ja,Nee,-,DSpace intern veld,,,,
BITSTREAM Download URL,Ja,Nee,-,,,,,
BITSTREAM ISBN,Ja,Ja,0…1,,,,,
BITSTREAM License,Ja,Ja,0…1,,,,,
BITSTREAM Webshop URL,Ja,Nee,-,,,,,
dc.contributor.author,Ja,Ja,0…n,,CONTRIBUTER_AUTHOR,,"May, Sally K.||Nadjamerrek, Donna||Narndal Gumurdul, Julie||Rademaker, Laura",
dc.contributor.editor,Ja,Ja,0…n,,CONTRIBUTER_EDITOR,,"Behlmer, Heike||Gertzen, Thomas L.||Witthuhn, Orell",
dc.contributor.other,Ja,Nee,-,,,,,
dc.date.accessioned,Ja,Ja,1…n,,DATE_ACCESSIONED,,2010-12-31 23:55:55||2019-12-10 14:46:32||2020-04-01T15:37:45Z,
dc.date.available,Ja,Ja,1…1,,,,,
dc.date.issued,Ja,Ja,0…1,,,,,
dc.description,Ja,Nee,-,,,,,
dc.description.abstract,Ja,Nee,-,,,,,
dc.description.provenance,Ja,Nee,-,,,,,
dc.identifier,Ja,Ja,0…n,,?,Misschien 3 velden van maken?,ONIX_20220531_9788884539427_151,1004962||OCN: 1105779610
dc.identifier.isbn,Ja,Ja,0…n,,?,Misschien 2 velden van maken?,9780823288281||9780823288274,
dc.identifier.issn,Ja,Nee,-,,,,,
dc.identifier.uri,Ja,Ja,0…1,,,,,
dc.language,Ja,Ja,0…n,,LANGUAGE,,Italian[ita]||English[eng],
dc.relation.ispartofseries,Ja,Nee,-,,,,,
dc.subject.classification,Ja,Ja,0…n,Gebaseerd op de BIC classificatie,SUBJECT_CLASSIFICATION,,bic Book Industry Communication::C Language::CF linguistics::CFA Philosophy of language||bic Book Industry Communication::C Language::CF linguistics::CFP Translation & interpretation,
dc.subject.other,Ja,Ja,0…n,Ongecontroleerde trefwoorden,SUBJECT_OTHER,,senses||apticity||psychology of perception||mirror neurons||meaning in architecture||embodied simulation,
dc.title,Ja,Ja,0…1,,,,,
dc.titlealternative,Ja,Nee,-,,,,,
dc.type,Ja,Ja,0…1,,,,,
dc.terms.abstract,Ja,Nee,-,,,,,
grantorname,Ja,Ja,0…n,,GRANTOR,ALTIJD LEEG?,,
grantornumber,Ja,Ja,0…n,,GRANTOR,Bevat 1 keer een ‘dubbele’ waarde: 104925||104925,a5f9a641-1078-4c1c-ad3d-9d15bc742784,103024
oapen.abstractotherlanguage,Ja,Nee,-,,,,,
oapen.chapternumber,Ja,Nee,-,,,,,
oapen.collection,Ja,Ja,0…n,,COLLECTION,,Knowledge Unlatched (KU)||European Research Council (ERC),
oapen.description.otherlanguage,Ja,Nee,-,,,,,
oapen.embargo,Ja,Ja,0…1,,,,,
oapen.grant.acronym,Ja,Ja,0…n,,GRANT,,SICLE,HBP SGA2||HBP SGA1
oapen.grant.number,Ja,Ja,0…n,,GRANT,,670628||FFI2012-32294,
oapen.grant.program,Ja,Ja,0…n,,GRANT,,Humanities Open Book Program||Humanities Open Book Program,
oapen.grant.project,Ja,Ja,0…n,,GRANT,,"Saadian Intellectual and Cultural Life||Corana, Production and transmission of the Qur’?n in the Western Islamic World",
oapen.identifier,Ja,Ja,0…n,,*,Meer waarden komt maar één keer voor!,https://openresearchlibrary.org/viewer/61ee7f71-18ae-4308-b882-78945f0e7492||https://openresearchlibrary.org/viewer/86754ca5-614f-4885-a311-6105097bb228,
oapen.identifier.doi,Ja,Ja,0…1,,,,10.14324/111.9781787352513,
oapen.identifier.isbn,Ja,Ja,0…n,,,,9780824892142||9780824892135,
oapen.identifier.ocn,Ja,Ja,0…1,,,,,
oapen.imprint,Ja,Nee,-,,,,,
oapen.pages,Ja,Nee,-,,,,,
oapen.placepublication,Ja,Nee,-,,,,,
oapen.relation.hasChapter,Ja,Ja,0…n,Is een ID - zie de API handleiding (https://oapen.org/librarians/15635975-met,,"OP 1 NA ALTIJD leeg, met enkelvoudige waarde",Chapter 1 Introduction (Biofictions),
oapen.relation.hasChapter_dc.title,Ja,Ja,0…n,,,,Chapter 3.3. Nationlism||Chapter 3.3. Nationlism,
oapen.relation.isFundedBy,Ja,Ja,0…n,Is een ID - zie de API handleiding (https://oapen.org/librarians/15635975-met,,,H2020||FP7 Health,
oapen.relation.isFundedBy_grantorname,Ja,Ja,0…n,,,,National Endowment for the Humanities||Andrew W. Mellon Foundation,
oapen.relation.isPartOfBook,Ja,Ja,0…1,Is een ID - zie de API handleiding (https://oapen.org/librarians/15635975-met,,,,
oapen.relation.isPartOfBook_dc.title,Ja,Ja,0…1,,,,,
oapen.relation.isPublishedBy,Ja,Ja,0…1,Is een ID - zie de API handleiding (https://oapen.org/librarians/15635975-met,,,Edinburgh University Press,
oapen.relation.isPublishedBy_publishername,Ja,Ja,0…1,,,,Hamburg University Press,
oapen.relation.isPublisherOf,Ja,Ja,0…n,Is een ID - zie de API handleiding (https://oapen.org/librarians/15635975-met,,,3b8b4143-4dce-47e0-acfd-c14118520f7e||4e47894d-2fbd-4277-a7ee-04bb4b236a63||3dde3690-07ff-4ab9-8971-2ea19f0402c6||f36ef08c-1903-45db-9df3-6468caaa13e4||08fa0861-7c0a-46bd-bda4-16890f02f117||5908c0eb-6d4c-44ab-8f95-5b4313077b29,
oapen.relation.isbn,Ja,Ja,0…n,,ISBN,,9788884539427||9788884539410||9788892737662,
oapen.seriesnumber,Ja,Nee,-,,,,,
